symbol,price,timestamp
AMZN,15.6195,2015-01-23
ANZ,19.8325,2015-01-23
ASX,25.5688,2015-01-23
AUB,5.7186,2015-01-23
AVGO,8.1952,2015-01-23
AX1,0.4004,2015-01-23
AZJ,2.7248,2015-01-23
AZN,25.0394,2015-01-23
CBA,52.2587,2015-01-23
CCJ,12.7797,2015-01-23
CHC,3.0846,2015-01-23
CME,58.0749,2015-01-23
CSL,73.4089,2015-01-23
DXS,4.2431,2015-01-23
EQIX,178.0973,2015-01-23
FTNT,6.386,2015-01-23
GNE,0.962,2015-01-23
GOOG,26.7232,2015-01-23
GOOGL,26.8943,2015-01-23
IAA,48.505,2015-01-23
IEU,39.5861,2015-01-23
IOO,39.3956,2015-01-23
IVV,14.472,2015-01-23
IXI,42.771,2015-01-23
MA,78.9306,2015-01-23
MAQ,4.4762,2015-01-23
META,77.2901,2015-01-23
MSFT,40.1701,2015-01-23
NAB,17.9833,2015-01-23
NVDA,0.4969,2015-01-23
NWH,0.2193,2015-01-23
RMD,6.8733,2015-01-23
SDF,1.0312,2015-01-23
SHL,12.9081,2015-01-23
STW,31.9248,2015-01-23
TCL,5.7365,2015-01-23
TLS,3.9211,2015-01-23
TSM,18.3588,2015-01-23
VAP,43.5555,2015-01-23
VEU,41.9766,2015-01-23
WBC,18.8341,2015-01-23
WDS,17.67,2015-01-23
WES,16.8929,2015-01-23
AMAT,21.1368,2015-01-26
AMD,2.61,2015-01-26
AMZN,15.483,2015-01-26
AVGO,8.176,2015-01-26
AZN,24.9969,2015-01-26
CCJ,12.7351,2015-01-26
CME,58.2554,2015-01-26
EQIX,177.1782,2015-01-26
FTNT,6.49,2015-01-26
GOOG,26.4885,2015-01-26
GOOGL,26.6348,2015-01-26
MA,78.1917,2015-01-26
META,76.9574,2015-01-26
MSFT,40.0253,2015-01-26
NVDA,0.4946,2015-01-26
TSM,18.4889,2015-01-26
AGL,8.2589,2015-01-27
ALX,1.7385,2015-01-27
AMAT,20.5525,2015-01-27
AMD,2.7,2015-01-27
AMZN,15.3375,2015-01-27
ANZ,20.0604,2015-01-27
ASX,25.8065,2015-01-27
AUB,5.6914,2015-01-27
AVGO,8.0274,2015-01-27
AX1,0.3948,2015-01-27
AZJ,2.6801,2015-01-27
AZN,25.4644,2015-01-27
CBA,53.1071,2015-01-27
CCJ,13.0298,2015-01-27
CHC,3.2085,2015-01-27
CME,57.3237,2015-01-27
CSL,74.3292,2015-01-27
DXS,4.2486,2015-01-27
EQIX,171.3781,2015-01-27
FTNT,6.49,2015-01-27
GNE,0.9666,2015-01-27
GOOG,25.668,2015-01-27
GOOGL,25.8641,2015-01-27
IAA,49.1541,2015-01-27
IEU,40.5067,2015-01-27
IOO,39.7249,2015-01-27
IVV,14.5669,2015-01-27
IXI,43.2538,2015-01-27
MA,76.48,2015-01-27
MAQ,4.3628,2015-01-27
META,75.2543,2015-01-27
MSFT,36.3217,2015-01-27
NAB,18.1799,2015-01-27
NVDA,0.471,2015-01-27
NWH,0.2229,2015-01-27
RMD,7.3844,2015-01-27
SDF,1.017,2015-01-27
SHL,13.13,2015-01-27
STW,32.1251,2015-01-27
TCL,5.7551,2015-01-27
TLS,3.983,2015-01-27
TSM,18.5119,2015-01-27
VAP,44.1156,2015-01-27
VEU,42.519,2015-01-27
WBC,18.9658,2015-01-27
WDS,17.593,2015-01-27
WES,17.1043,2015-01-27
AGL,8.189,2015-01-28
ALX,1.677,2015-01-28
AMAT,20.3825,2015-01-28
AMD,2.63,2015-01-28
AMZN,15.1955,2015-01-28
ANZ,20.1035,2015-01-28
ASX,25.8676,2015-01-28
AUB,5.664,2015-01-28
AVGO,8.0435,2015-01-28
AX1,0.3892,2015-01-28
AZJ,2.7248,2015-01-28
AZN,25.1527,2015-01-28
CBA,53.1496,2015-01-28
CCJ,12.5922,2015-01-28
CHC,3.1889,2015-01-28
CME,55.8803,2015-01-28
CSL,74.9312,2015-01-28
DXS,4.2263,2015-01-28
EQIX,167.6709,2015-01-28
FTNT,6.28,2015-01-28
GNE,0.9436,2015-01-28
GOOG,25.2409,2015-01-28
GOOGL,25.4294,2015-01-28
IAA,48.8929,2015-01-28
IEU,40.3889,2015-01-28
IOO,39.3832,2015-01-28
IVV,14.4151,2015-01-28
IXI,43.1875,2015-01-28
MA,75.5167,2015-01-28
MAQ,4.3628,2015-01-28
META,75.7111,2015-01-28
MSFT,35.0701,2015-01-28
NAB,18.2057,2015-01-28
NVDA,0.4633,2015-01-28
NWH,0.2193,2015-01-28
RMD,7.1288,2015-01-28
SDF,0.9993,2015-01-28
SHL,13.1092,2015-01-28
STW,32.2003,2015-01-28
TCL,5.7303,2015-01-28
TLS,4.0139,2015-01-28
TSM,18.3129,2015-01-28
VAP,43.8892,2015-01-28
VEU,42.4486,2015-01-28
WBC,19.0316,2015-01-28
WDS,17.6444,2015-01-28
WES,17.0103,2015-01-28
AGL,8.3753,2015-01-29
ALX,1.6211,2015-01-29
AMAT,20.5961,2015-01-29
AMD,2.61,2015-01-29
AMZN,15.589,2015-01-29
ANZ,20.2944,2015-01-29
ASX,25.8608,2015-01-29
AUB,5.6982,2015-01-29
AVGO,8.1607,2015-01-29
AX1,0.4032,2015-01-29
AZJ,2.7527,2015-01-29
AZN,25.4644,2015-01-29
CBA,53.792,2015-01-29
CCJ,12.4225,2015-01-29
CHC,3.1498,2015-01-29
CME,56.5692,2015-01-29
CSL,75.3183,2015-01-29
DXS,4.2319,2015-01-29
EQIX,171.3935,2015-01-29
FTNT,5.843,2015-01-29
GNE,0.9712,2015-01-29
GOOG,25.2735,2015-01-29
GOOGL,25.4691,2015-01-29
IAA,49.0987,2015-01-29
IEU,39.947,2015-01-29
